"anzsco_code","anzsco_title","isco08_code","partial_match","isco08_title"
"111311","Local Government Legislator","1111",TRUE,"Legislators"
"111312","Member of Parliament","1111",TRUE,"Legislators"
"111399","Legislators nec","1111",TRUE,"Legislators"
"111111","Chief Executive or Managing Director","1112",TRUE,"Senior government officials"
"111211","Corporate General Manager","1112",TRUE,"Senior government officials"
"139999","Specialist Managers nec","1112",TRUE,"Senior government officials"
,"No Correspondence","1113",FALSE,"Traditional chiefs and heads of villages"
"111111","Chief Executive or Managing Director","1114",TRUE,"Senior officials of special-interest organizations"
"111211","Corporate General Manager","1114",TRUE,"Senior officials of special-interest organizations"
"111111","Chief Executive or Managing Director","1120",TRUE,"Managing directors and chief executives"
"111211","Corporate General Manager","1120",TRUE,"Managing directors and chief executives"
