"isco08_code","isco08_title","partial_match","soc2010_code","soc2010_title","comment"
"1111","Legislators",FALSE,"11-1031","Legislators",
"1112","Senior government officials",TRUE,"11-1011","Chief Executives",
"1112","Senior government officials",TRUE,"11-1021","General and Operations Managers",
"1112","Senior government officials",TRUE,"11-9161","Emergency Management Directors",
"1113","Traditional chiefs and heads of villages",TRUE,"11-1011","Chief Executives",
"1113","Traditional chiefs and heads of villages",TRUE,"11-1031","Legislators",
"1114","Senior officials of special-interest organizations",TRUE,"11-1021","General and Operations Managers",
"1114","Senior officials of special-interest organizations",TRUE,"11-2031","Public Relations and Fundraising Managers",
"1114","Senior officials of special-interest organizations",TRUE,"11-9199","Managers, All Other",
"1120","Managing directors and chief executives",TRUE,"11-1011","Chief Executives",
"1120","Managing directors and chief executives",TRUE,"11-1021","General and Operations Managers",
