ctable,country,year,isic,isiccomb,value,utable,source,unit
14,076,1996,151,151,1000,12,1,$
14,076,1996,1511,1511,NA,12,0,$
14,076,1996,1512,1512,NA,12,0,$
14,076,1996,1513,1513,NA,12,0,$
14,076,1996,1514,1514,NA,12,0,$
14,076,1996,1520,1520,1000,12,1,$
14,076,1996,153,153,1000,12,1,$
14,076,1996,1531,1531,NA,12,0,$
14,076,1996,1532,1532,NA,12,0,$
14,076,1996,1533,1533,NA,12,0,$
14,076,1996,154,154,1000,12,1,$
14,076,1996,1541,1541,NA,12,0,$
14,076,1996,1542,1542,NA,12,0,$
14,076,1996,1543,1543,NA,12,0,$
14,076,1996,1544,1544,NA,12,0,$
14,076,1996,1549,1549,NA,12,0,$
14,076,1996,155,155,1000,12,1,$
14,076,1996,1551,1551,NA,12,0,$
14,076,1996,1552,1552,NA,12,0,$
14,076,1996,1553,1553,NA,12,0,$
14,076,1996,1554,1554,NA,12,0,$
14,076,1996,1600,1600,1000,12,1,$
14,076,1996,171,171,1000,12,1,$
14,076,1996,1711,1711,NA,12,0,$
14,076,1996,1712,1712,NA,12,0,$
14,076,1996,172,172,1000,12,1,$
14,076,1996,1721,1721,NA,12,0,$
14,076,1996,1722,1722,NA,12,0,$
14,076,1996,1723,1723,NA,12,0,$
14,076,1996,1729,1729,NA,12,0,$
14,076,1996,1730,1730,1000,12,1,$
14,076,1996,1810,1810A,1000,12,1,$
14,076,1996,1820,1810A,NA,12,1,$
14,076,1996,191,191,1000,12,1,$
14,076,1996,1911,1911,NA,12,0,$
14,076,1996,1912,1912,NA,12,0,$
14,076,1996,1920,1920,1000,12,1,$
14,076,1996,2010,2010,1000,12,1,$
14,076,1996,202,202,1000,12,1,$
14,076,1996,2021,2021,NA,12,0,$
14,076,1996,2022,2022,NA,12,0,$
14,076,1996,2023,2023,NA,12,0,$
14,076,1996,2029,2029,NA,12,0,$
14,076,1996,210,210,1000,12,1,$
14,076,1996,2101,2101,NA,12,0,$
14,076,1996,2102,2102,NA,12,0,$
14,076,1996,2109,2109,NA,12,0,$
14,076,1996,221,221,1000,12,1,$
14,076,1996,2211,2211,NA,12,0,$
14,076,1996,2212,2212,NA,12,0,$
14,076,1996,2213,2213,NA,12,0,$
14,076,1996,2219,2219,NA,12,0,$
