houseid,pno,p3p3_sex,p3p4_age,occupn
602050611821e11,4,1. Male,20,110
302011011328e11,1,1. Male,40,110
603010312054e11,1,1. Male,40,110
602061321878e11,2,2. Female,24,110
80205012249e12,4,1. Male,28,110
60302011189e12,1,1. Male,35,110
100502031279e12,5,2. Female,23,110
10110022105e12,9,1. Male,28,120
402010821657e11,1,1. Male,39,140
705020422271e11,1,1. Male,62,140
110301031293e12,2,2. Female,38,140
506020321739e11,1,1. Male,41,140
901030322718e11,1,1. Male,43,140
100102012282e12,1,1. Male,48,140
6030401122e13,9,1. Male,33,140
302090711482e11,1,1. Male,32,140
104010221087e11,1,1. Male,35,140
110308012288e12,1,1. Male,42,140
605060812091e11,1,1. Male,37,140
603030712293e11,1,1. Male,38,140
603011711853e11,1,1. Male,33,140
60302611226e12,1,1. Male,49,140
505030411687e11,1,1. Male,50,140
602050512158e11,3,1. Male,25,140
204010121159e11,1,1. Male,40,140
602030911928e11,1,1. Male,37,140
602022921836e11,1,1. Male,34,140
605030111985e11,1,1. Male,43,140
505031111716e11,1,1. Male,42,140
603030411869e11,1,1. Male,40,140
104010221083e11,1,1. Male,43,140
804050322512e11,1,1. Male,41,140
505031111718e11,1,1. Male,44,140
304110121341e11,1,1. Male,45,140
603024411866e11,1,1. Male,55,140
604010122093e11,1,1. Male,32,190
801040522523e11,1,1. Male,47,190
603020111899e11,4,1. Male,40,190
603023612003e11,2,2. Female,40,190
804050322507e11,1,1. Male,38,190
603024411851e11,5,1. Male,26,190
603024912193e11,7,1. Male,28,190
603023411888e11,1,1. Male,34,190
90108042276e12,1,1. Male,42,190
604010422099e11,3,2. Female,28,190
603030412149e11,1,1. Male,28,190
602050612157e11,1,1. Male,29,190
602020911884e11,1,1. Male,39,190
203010221167e11,1,1. Male,36,190
605050112047e11,10,1. Male,33,190
605030111985e11,1,1. Male,29,190
602030712223e11,1,1. Male,63,190
603024411856e11,4,1. Male,26,190
901050322733e11,1,1. Male,45,190
602070112068e11,15,1. Male,29,190
606040212118e11,2,2. Female,44,190
604010422093e11,2,1. Male,42,190
603020311852e11,6,1. Male,28,190
704040122472e11,4,1. Male,32,190
603020912198e11,1,1. Male,46,190
2010603211e13,1,1. Male,29,190
302030211402e11,1,1. Male,38,190
602060412224e11,1,1. Male,34,190
603023411888e11,3,1. Male,41,190
110306061294e12,2,2. Female,36,1110
10102032107e12,4,1. Male,23,1110
404050121635e11,2,2. Female,27,1110
505031611766e11,1,1. Male,38,1110
505031921767e11,1,1. Male,30,1110
901010122726e11,4,2. Female,27,1120
606010111874e11,1,1. Male,42,1120
603030912007e11,1,1. Male,35,1120
302040421289e11,2,2. Female,37,1120
501010221728e11,1,1. Male,50,1120
603025212229e11,1,1. Male,43,1120
302040121233e11,1,1. Male,51,1120
130102062312e12,1,1. Male,36,1120
605030111985e11,1,1. Male,63,1120
606040612108e11,2,1. Male,46,1120
130503031324e12,2,1. Male,41,1120
603030711886e11,11,2. Female,21,1120
603013212071e11,1,1. Male,56,1120
505040121783e11,3,2. Female,31,1120
406040121578e11,1,1. Male,43,1120
606050611954e11,1,1. Male,39,1120
603030611888e11,7,2. Female,27,1120
901010322642e11,1,2. Female,26,1120
100601012284e12,1,1. Male,36,1120
302060121254e11,2,1. Male,41,1120
606010111873e11,1,1. Male,34,1120
30209101148e12,1,1. Male,40,1120
201010711109e11,3,1. Male,31,1120
201010811107e11,1,1. Male,42,1120
101070321049e11,3,1. Male,28,1120
130306032322e12,1,1. Male,51,1120
603025511821e11,1,1. Male,61,1120
605020512015e11,3,2. Female,34,1120
406011011586e11,3,1. Male,27,1120
110305142293e12,1,1. Male,35,1120
703040822482e11,2,2. Female,27,1120
201011121091e11,7,1. Male,30,1120
120302191298e12,1,1. Male,56,1120
120201152307e12,3,2. Female,24,1120
603013211956e11,15,1. Male,43,1120
130304042322e12,1,1. Male,55,1120
301010321433e11,1,1. Male,37,1120
302040421329e11,1,1. Male,41,1120
606010411965e11,1,1. Male,37,1120
90205022274e12,1,1. Male,65,1130
702010422422e11,1,1. Male,55,1130
304040321347e11,4,1. Male,33,1130
201040121111e11,4,2. Female,25,1130
130504012329e12,1,1. Male,59,1130
403130421492e11,1,1. Male,48,1130
602041211923e11,1,1. Male,52,1130
103020221005e11,2,2. Female,40,1130
505031711714e11,1,1. Male,49,1130
701010322256e11,1,1. Male,63,1130
102010221027e11,1,1. Male,45,1130
802040122628e11,1,1. Male,65,1130
901080122665e11,1,1. Male,43,1130
702100212291e11,1,1. Male,40,1130
301060321378e11,1,1. Male,49,1130
805010222614e11,1,1. Male,47,1130
60303041197e12,1,1. Male,66,1130
201010111109e11,1,1. Male,61,1141
302100321292e11,1,1. Male,54,1141
202021221133e11,1,1. Male,58,1141
902030512635e11,2,1. Male,30,1142
606010211946e11,7,1. Male,24,1142
100501011278e12,1,1. Male,36,1142
30201051131e12,1,1. Male,74,1142
603030411898e11,3,1. Male,25,1142
602050512062e11,9,1. Male,31,1142
100501011278e12,5,2. Female,25,1142
901050422758e11,1,1. Male,31,1142
604010222097e11,1,1. Male,47,1142
60302141205e12,4,1. Male,25,1142
60302671187e12,1,1. Male,61,1142
901090422678e11,1,1. Male,63,1142
60206112221e12,1,1. Male,45,1142
603013512035e11,1,1. Male,58,1142
606070211949e11,3,1. Male,30,1142
130403042316e12,2,2. Female,39,1142
60303111198e12,2,2. Female,39,1142
201010611116e11,2,2. Female,35,1142
602020211933e11,2,2. Female,33,1142
603011711858e11,1,1. Male,33,1142
603021411989e11,1,1. Male,32,1142
60205051216e12,8,1. Male,27,1142
406020611519e11,1,1. Male,29,1142
603025112122e11,1,1. Male,50,1142
606050611954e11,3,1. Male,24,1143
606050311914e11,2,2. Female,42,1143
302030111405e11,1,1. Male,41,1143
606010112118e11,1,1. Male,28,1143
603023711965e11,1,2. Female,21,1143
802020522601e11,1,1. Male,32,1143
606070211874e11,5,1. Male,35,1143
101010321062e11,1,1. Male,57,1143
104060121012e11,1,1. Male,39,1143
603026312188e11,1,1. Male,31,1143
110302052286e12,8,1. Male,35,1143
605060712085e11,1,1. Male,49,1143
602050712244e11,10,2. Female,24,1210
120302061299e12,9,1. Male,29,1210
603011711895e11,1,1. Male,52,1210
202020421136e11,1,1. Male,49,1210
603022812166e11,1,1. Male,25,1223
120302141312e12,1,1. Male,35,1223
406010911576e11,4,2. Female,23,1224
603024411854e11,1,1. Male,56,1225
603026211999e11,1,2. Female,23,1226
605020512017e11,9,1. Male,33,1227
